stem,term_id,n_tokens,n_docs,pos_mode,pos_coarse,example_word,tf,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
advent,4252,10,4,NN,NOUN,advent,2.930334233922721e-05,4,0.0,,0.0,,0.0
cessat,4253,10,3,NN,NOUN,cessation,2.930334233922721e-05,3,0.12493873660829993,4.0054948529388145e-06,1.2016484558816443e-05,2.6197275533019494e-06,8.098031040001662e-06
tam,4254,10,3,NN,NOUN,tam,2.930334233922721e-05,3,0.12493873660829993,4.071806917860613e-06,1.2215420753581838e-05,3.4705847314292836e-06,7.792355793076991e-06
drunk,4255,10,4,NN,ADV,drunk,2.930334233922721e-05,4,0.0,,0.0,,0.0
sugar,4256,10,3,NN,NOUN,sugar,2.930334233922721e-05,3,0.12493873660829993,3.935552685815593e-06,1.1806658057446779e-05,2.857440687226693e-06,7.792355793076991e-06
ceil,4257,10,3,NN,NOUN,ceiling,2.930334233922721e-05,3,0.12493873660829993,4.224809117368493e-06,1.267442735210548e-05,3.929591329952925e-06,7.792355793076991e-06
expand,4258,10,3,VBN,VERB,expanded,2.930334233922721e-05,3,0.12493873660829993,3.990266022697601e-06,1.1970798068092801e-05,2.857440687226693e-06,6.4936298275641585e-06
drought,4259,10,4,NN,NOUN,drought,2.930334233922721e-05,4,0.0,,0.0,,0.0
unlimit,4260,10,4,JJ,ADJ,unlimited,2.930334233922721e-05,4,0.0,,0.0,,0.0
adam,4261,10,1,NNP,NOUN,Adams,2.930334233922721e-05,1,0.6020599913279624,4.5898514265846555e-05,4.5898514265846555e-05,4.5898514265846555e-05,4.5898514265846555e-05
exasper,4262,10,3,VB,VERB,exasperated,2.930334233922721e-05,3,0.12493873660829993,3.7631481354521367e-06,1.128944440635641e-05,3.929591329952925e-06,4.762401145377822e-06
tal,4263,10,1,NNP,NOUN,Tal,2.930334233922721e-05,1,0.6020599913279624,5.5747327851253016e-05,5.5747327851253016e-05,5.5747327851253016e-05,5.5747327851253016e-05
eclips,4264,10,2,NN,NOUN,eclipse,2.930334233922721e-05,2,0.3010299956639812,1.4107737469684606e-05,2.821547493936921e-05,1.4107737469684606e-05,2.508629753306386e-05
